No,Date,OPD,Name,Gender,Age,Bleed,Weight,PCV,WBC,"PLT
______",Creatinine,ALT,Snap4Dx,PLATELETS,HGB,RBC,MCV,MCHC,MCH,SEGS,LYMPH,MONO,PROTEIN (REFRACT),RDW,"________
(_______)","____ file
(_______)",crossmatch_result,donor_name,"PCV
donor",product,Volume,"________
(___ file _________)",PCV_target,PCV_Sucess,PCV_afterdonation,WBC_afterdoantion,"________
(_______)","____ file
(_______)"
88,1-Oct-16,59003866,บ๊อบ,M,0,CROSSBREED,2.56,7.1,9.16,11,,,,11,2.3,1.04,68.27,32.39,22.12,68,16.3,15.3,5,14.3,pcv 7,b59\41.txt,ผ่าน,ลิป,52,SWB,100,,29.66944444,25.2,25.2,15.96,pcv  26,a59\41.txt
89,25-Sep-16,59003639,Luck,F,0,CROSSBREED,13.5,14,9.75,285,,,,285,16.2,7.05,68.5,34,23.5,68.5,21,6.5,5.6,16.5,pcv  14,b59\40.txt,ผ่าน,ลิป,52.8,SWB,400,,31.38271605,19,19,8.68,"PCV 18,RPI index 0.45",a59\40.txt
90,6-Oct-16,59003908,เชอร์รี่,F,0,CROSSBREED,15.25,21.4,115.03,179,,,,179,6.9,3.58,59.78,32.24,19.27,72,16,2,7,16.2,PCV 20,b59\42.txt,ผ่าน,ลูกชิด,48.9,SWB,300,,32.08852459,27.1,27.1,125.15,"pcv 24,SNAP4DX=E.canis",a59\42.txt
91,6-Oct-16,59001792,มารวย,M,,CROSSBREED,17,17,9.75,285,,,,285,16.2,7.05,68.5,34,23.5,68.5,21,6.5,,16.5,,,ผ่าน,ฝ้าย,57.9,SWB,350,,30.24509804,31.5,31.5,,,
102,27-Dec-16,59004962,เซลซี,M,0,ROTTWEILER,27,14.3,13.04,67,,,,67,4.3,1.8,79.44,30.07,23.89,85.9,5.8,5.1,8,15.3,PCV=13,b59\56.txt,ผ่าน,มอมแดง,55,SWB,350,,22.2218107,17,17,14.35,pcv 17,
104,16-Jan-17,60000138,เคไลน์,F,0,Unknow,12,21,9.75,285,,,,285,16.2,7.05,68.5,34,23.5,68.5,21,6.5,7.8,16.5,PCV ปั่นรอบ2= 18/7.2,_b60\2.txt,ผ่าน,ฝ้าย,56.6,PRC,350,,50.16666667,37.4,37.4,23.42,PCV 36,_a60\2.txt
106,17-Jan-17,60000069,นุ่น,F,,CHIHUAHUA,3.2,9,9.75,285,,,,285,16.2,7.05,68.5,34,23.5,68.5,21,6.5,,16.5,,,ผ่าน,ผักบุ้ง,51.3,SWB,60,เหลือ 240 ml,19.6875,16,16,,,
107,1-Feb-17,60000359,แช็กกี้,M,0,CHIHUAHUA,2.7,7.5,33.94,128,,,,128,1.8,0.9,83.33,24,20,64,13,17,0,26.5,PCV 7,_b60\5.txt,ผ่าน,ผักบุ้ง,51,SWB,140,เหลือ 100 ml,36.88271605,40,40,27.78,PCV 37,_a60\5.txt
109,30-Jan-17,60000344,หนอน,F,0,POODLE,6,10.5,597.4,47,,,,47,2.5,1.09,96.33,23.81,22.94,100,21,6.5,7.2,18.8,PCV=10,_b60\4.txt,ผ่าน,มะยม,44.9,PRC,170,,38.83333333,18.5,18.5,682.17,PCV=16,_a60\4.txt
110,30-Jan-17,60000341,มิกิ,F,0,CROSSBREED,20,10.6,14.01,2,,,,2,3.2,1.51,70.2,30.19,21.19,84.3,1.3,14.2,6.8,16.7,pcv 12,_b60\3.txt,ผ่าน,ลีวาย,55.4,SWB,450,,24.45,21.1,21.1,17.55,pcv 19,_a60\3.txt
112,14-Feb-17,60000355,นุ่้อง,F,0,CROSSBREED,16.75,14.9,84.35,287,,,,287,4.9,2.1,70.95,32.89,23.33,92.8,2.4,3.5,7,16.3,pcv 16,_b60\6.txt,ผ่าน,ลูกตาล,47.5,SWB,350,,25.92819237,19,19,49.36,PCV=21,_a60\6.txt
